day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20210805,S1A,OK,0.896,392.0,106.0,76.0,61.0,149.0
20210806,S1A,OK,1.0,373.0,115.0,62.0,76.0,120.0
20210731,S1A,LOWCOV,0.436,,,,,
20210725,S1A,OK,0.998,389.0,112.0,77.0,70.0,130.0
20210719,S1A,LOWCOV,0.436,,,,,
20210724,S1A,OK,0.896,404.0,107.0,85.0,61.0,151.0
20210707,S1A,LOWCOV,0.435,,,,,
20210712,S1A,OK,0.895,245.0,56.0,35.0,54.0,100.0
20210701,S1A,OK,0.998,391.0,104.0,80.0,74.0,133.0
20210630,S1A,OK,0.896,393.0,102.0,66.0,78.0,147.0
20210812,S1A,LOWCOV,0.436,,,,,
20210619,S1A,OK,0.999,388.0,112.0,72.0,69.0,135.0
20210618,S1A,OK,0.892,384.0,106.0,70.0,57.0,151.0
20210613,S1A,LOWCOV,0.437,,,,,
20210607,S1A,OK,0.983,358.0,112.0,55.0,72.0,119.0
20210713,S1A,OK,0.997,361.0,89.0,72.0,61.0,139.0
20210601,S1A,LOWCOV,0.426,,,,,
20210606,S1A,OK,0.895,365.0,92.0,70.0,66.0,137.0
20210525,S1A,OK,0.896,380.0,111.0,57.0,70.0,142.0
20210520,S1A,LOWCOV,0.436,,,,,
20210514,S1A,OK,0.999,355.0,97.0,63.0,70.0,125.0
20210513,S1A,OK,0.891,337.0,82.0,64.0,68.0,123.0
20210625,S1A,LOWCOV,0.416,,,,,
20210502,S1A,OK,0.999,372.0,108.0,75.0,68.0,121.0
20210501,S1A,OK,0.896,349.0,88.0,71.0,63.0,127.0
20210420,S1A,OK,0.999,355.0,97.0,79.0,68.0,111.0
20210526,S1A,OK,0.999,368.0,94.0,72.0,71.0,131.0
20210419,S1A,OK,0.887,360.0,80.0,71.0,69.0,140.0
20210414,S1A,LOWCOV,0.437,,,,,
20210408,S1A,OK,0.999,392.0,124.0,92.0,72.0,104.0
20210508,S1A,LOWCOV,0.436,,,,,
20210402,S1A,LOWCOV,0.437,,,,,
20210407,S1A,OK,0.896,372.0,93.0,81.0,72.0,126.0
20210426,S1A,LOWCOV,0.436,,,,,
20210321,S1A,LOWCOV,0.437,,,,,
20210326,S1A,OK,0.896,421.0,124.0,96.0,86.0,115.0
20210309,S1A,LOWCOV,0.437,,,,,
20210314,S1A,OK,0.896,355.0,101.0,83.0,62.0,109.0
20210225,S1A,LOWCOV,0.437,,,,,
20210327,S1A,OK,0.958,288.0,87.0,55.0,57.0,89.0
20210219,S1A,OK,1.0,431.0,125.0,107.0,74.0,125.0
20210213,S1A,LOWCOV,0.438,,,,,
20210218,S1A,OK,0.892,352.0,96.0,81.0,71.0,104.0
20210315,S1A,OK,1.0,369.0,104.0,81.0,81.0,103.0
20210207,S1A,OK,1.0,434.0,111.0,118.0,77.0,128.0
20210206,S1A,OK,0.896,396.0,108.0,97.0,75.0,116.0
20210303,S1A,OK,0.999,351.0,103.0,77.0,63.0,108.0
20210126,S1A,OK,1.0,418.0,107.0,97.0,72.0,142.0
20210120,S1A,LOWCOV,0.436,,,,,
