_id,month,vessel_type,number_of_vessels,gross_tonnage
427,1999-06,Bulk Carrier,347,10968
428,1999-06,Tanker,1222,20861
429,1999-06,Passenger,4290,2423
430,1999-06,Barges,1748,1891
431,1999-06,Tug,1333,224
432,1999-06,Miscellaneous,645,3718
433,1999-07,Container,1382,27777
434,1999-07,Freighter,812,3460
435,1999-07,Bulk Carrier,360,10667
436,1999-07,Tanker,1277,23072
437,1999-07,Passenger,4479,2325
438,1999-07,Barges,1819,1924
439,1999-07,Tug,1420,253
440,1999-07,Miscellaneous,792,4025
441,1999-08,Container,1426,28209
442,1999-08,Freighter,794,3705
443,1999-08,Bulk Carrier,339,10215
444,1999-08,Tanker,1288,21674
445,1999-08,Passenger,4316,2692
446,1999-08,Barges,1795,1914
447,1999-08,Tug,1321,221
448,1999-08,Miscellaneous,780,4230
449,1999-09,Container,1393,27121
450,1999-09,Freighter,741,3450
451,1999-09,Bulk Carrier,364,10525
452,1999-09,Tanker,1246,22991
453,1999-09,Passenger,4045,2693
454,1999-09,Barges,1775,1904
455,1999-09,Tug,1285,205
456,1999-09,Miscellaneous,790,3792
457,1999-10,Container,1464,28552
458,1999-10,Freighter,746,3269
459,1999-10,Bulk Carrier,395,11999
460,1999-10,Tanker,1310,23311
461,1999-10,Passenger,4056,2330
462,1999-10,Barges,1741,1888
463,1999-10,Tug,1280,226
464,1999-10,Miscellaneous,784,3535
465,1999-11,Container,1387,27107
466,1999-11,Freighter,695,3170
467,1999-11,Bulk Carrier,339,9975
468,1999-11,Tanker,1254,22128
469,1999-11,Passenger,3842,2279
470,1999-11,Barges,1671,1823
471,1999-11,Tug,1247,232
472,1999-11,Miscellaneous,741,3436
473,1999-12,Container,1422,28110
474,1999-12,Freighter,736,3286
475,1999-12,Bulk Carrier,345,10984
476,1999-12,Tanker,1288,23008
477,1999-12,Passenger,4158,2437
478,1999-12,Barges,1657,1776
479,1999-12,Tug,1179,182
480,1999-12,Miscellaneous,779,3798
481,2000-01,Container,1394,27690
482,2000-01,Freighter,682,3173
483,2000-01,Bulk Carrier,384,12193
484,2000-01,Tanker,1268,25153
485,2000-01,Passenger,4240,2479
486,2000-01,Barges,1537,1735
487,2000-01,Tug,1156,219
488,2000-01,Miscellaneous,773,3619
489,2000-02,Container,1332,26141
490,2000-02,Freighter,639,2841
491,2000-02,Bulk Carrier,324,10026
492,2000-02,Tanker,1205,22427
493,2000-02,Passenger,4290,2513
494,2000-02,Barges,1350,1419
495,2000-02,Tug,1025,205
496,2000-02,Miscellaneous,729,3865
497,2000-03,Container,1438,28564
498,2000-03,Freighter,752,3229
499,2000-03,Bulk Carrier,312,9068
500,2000-03,Tanker,1272,23176
501,2000-03,Passenger,4570,2964
502,2000-03,Barges,1763,1920
503,2000-03,Tug,1309,227
504,2000-03,Miscellaneous,880,4019
505,2000-04,Container,1408,27910
506,2000-04,Freighter,725,3134
507,2000-04,Bulk Carrier,352,11384
508,2000-04,Tanker,1407,26190
509,2000-04,Passenger,4460,2307
510,2000-04,Barges,1674,1831
511,2000-04,Tug,1201,195
512,2000-04,Miscellaneous,777,3727
513,2000-05,Container,1449,28746
514,2000-05,Freighter,751,3454
515,2000-05,Bulk Carrier,388,11752
516,2000-05,Tanker,1377,25899
517,2000-05,Passenger,4606,2319
518,2000-05,Barges,1728,1915
519,2000-05,Tug,1242,202
520,2000-05,Miscellaneous,854,4105
521,2000-06,Container,1403,28360
522,2000-06,Freighter,693,2953
523,2000-06,Bulk Carrier,351,10324
524,2000-06,Tanker,1299,24456
525,2000-06,Passenger,4634,2330
526,2000-06,Barges,1817,1982
527,2000-06,Tug,1343,226
528,2000-06,Miscellaneous,885,4242
529,2000-07,Container,1451,29046
530,2000-07,Freighter,778,3312
531,2000-07,Bulk Carrier,390,11593
532,2000-07,Tanker,1384,25637
533,2000-07,Passenger,4535,2249
534,2000-07,Barges,1811,1992
535,2000-07,Tug,1339,207
536,2000-07,Miscellaneous,924,4857
537,2000-08,Container,1457,29216
538,2000-08,Freighter,759,3448
539,2000-08,Bulk Carrier,354,10769
540,2000-08,Tanker,1321,24315
541,2000-08,Passenger,4550,2254
542,2000-08,Barges,1721,1903
543,2000-08,Tug,1307,204
544,2000-08,Miscellaneous,899,4739
545,2000-09,Container,1418,28560
546,2000-09,Freighter,753,3360
547,2000-09,Bulk Carrier,361,10886
548,2000-09,Tanker,1295,24039
549,2000-09,Passenger,4334,2190
550,2000-09,Barges,1664,1818
551,2000-09,Tug,1281,201
552,2000-09,Miscellaneous,831,4604
553,2000-10,Container,1469,29787
554,2000-10,Freighter,801,3759
555,2000-10,Bulk Carrier,364,11188
556,2000-10,Tanker,1319,26424
557,2000-10,Passenger,4650,2416
558,2000-10,Barges,1706,1881
559,2000-10,Tug,1264,228
560,2000-10,Miscellaneous,931,5083
561,2000-11,Container,1367,26863
562,2000-11,Freighter,772,3290
563,2000-11,Bulk Carrier,346,11261
564,2000-11,Tanker,1336,22730
565,2000-11,Passenger,4432,2525
566,2000-11,Barges,1697,1877
567,2000-11,Tug,1249,207
568,2000-11,Miscellaneous,907,4700
569,2000-12,Container,1385,26697
570,2000-12,Freighter,751,3248
571,2000-12,Bulk Carrier,365,12041
572,2000-12,Tanker,1402,24054
573,2000-12,Passenger,4950,2809
574,2000-12,Barges,1504,1699
575,2000-12,Tug,1158,199
576,2000-12,Miscellaneous,893,5007
577,2001-01,Container,1401,26811
578,2001-01,Freighter,738,3598
579,2001-01,Bulk Carrier,444,14448
580,2001-01,Tanker,1368,24900
